id,title,release_date,popularity,vote_average,vote_count
788929,Lamb,12/08/2021,16.272,6.5,391
550988,Free Guy,11/08/2021,290.093,7.7,5802
727745,The Kissing Booth 3,11/08/2021,90.204,7.1,1428
776503,CODA,11/08/2021,58.437,8,1343
675445,PAW Patrol: The Movie,09/08/2021,305.864,7.5,944
597433,Beckett,04/08/2021,65.68,6.3,510
763149,Aftermath,04/08/2021,44.761,6.4,444
729720,The Last Mercenary,30/07/2021,100.064,6.6,489
449406,Vivo,30/07/2021,84.376,7.6,535
763152,More the Merrier,30/07/2021,69.508,6.7,341
760747,The Trip,30/07/2021,54.962,6.7,343
785539,Resort to Love,29/07/2021,37.428,7.3,326
616651,Stillwater,29/07/2021,30.554,6.8,642
559907,The Green Knight,29/07/2021,25.893,6.6,1149
436969,The Suicide Squad,28/07/2021,287.944,7.7,6249
451048,Jungle Cruise,28/07/2021,261.032,7.5,4344
736074,"Batman: The Long Halloween, Part Two",26/07/2021,51.675,7.7,311
845222,Kingdom: Ashin of the North,23/07/2021,80.273,7.5,376
760883,Blood Red Sky,23/07/2021,45.55,7.1,1151
638449,The Last Letter From Your Lover,23/07/2021,26.546,7.5,418
693113,Midnight in the Switchgrass,23/07/2021,18.401,6.1,267
568620,Snake Eyes: G.I. Joe Origins,22/07/2021,205.822,6.7,1144
823754,Bo Burnham: Inside,22/07/2021,9.395,8.2,224
631843,Old,21/07/2021,188.96,6.5,2717
730840,Trollhunters: Rise of the Titans,21/07/2021,76.782,7.9,243
649394,Worth,21/07/2021,13.853,6.8,206
577242,Kaamelott: The First Chapter,21/07/2021,8.91,6.9,473
776305,Belle,16/07/2021,93.834,8.1,335
635731,Pig,16/07/2021,20.885,6.7,749
617502,Jolt,15/07/2021,72.186,6.7,932
678580,El mesero,15/07/2021,62.312,8,318
547565,The Night House,15/07/2021,20.232,6.7,642
745881,The Medium,14/07/2021,109.414,7.1,329
574060,Gunpowder Milkshake,14/07/2021,103.949,6.4,616
591275,Fear Street: 1666,14/07/2021,58.856,7.3,1143
630240,Titane,14/07/2021,47.65,6.5,798
454527,Benedetta,09/07/2021,23.41,6.7,574
379686,Space Jam: A New Legacy,08/07/2021,236.212,7,3151
591274,Fear Street: 1978,08/07/2021,83.127,7.3,1270
497698,Black Widow,07/07/2021,245.778,7.4,7678
846214,"The Simpsons: The Good, the Bart, and the Loki",07/07/2021,121.229,7.5,526
424277,Annette,06/07/2021,40.266,6.9,467
843241,The Seven Deadly Sins: Cursed by Light,02/07/2021,654.894,7.9,349
588228,The Tomorrow War,02/07/2021,244.32,8,5496
672741,Till Death,02/07/2021,22.561,6.6,408
459151,The Boss Baby: Family Business,01/07/2021,442.187,7.6,1945
585216,Escape Room: Tournament of Champions,01/07/2021,72.267,6.7,1213
602223,The Forever Purge,30/06/2021,157.038,7.2,1781
672582,The Deep House,30/06/2021,134.919,6.4,636
591273,Fear Street: 1994,28/06/2021,103.617,6.8,1554
800497,Werewolves Within,25/06/2021,51.044,6.1,304
649409,No Sudden Move,24/06/2021,48.694,6.4,423
646207,The Ice Road,24/06/2021,42.489,7,1225
736073,"Batman: The Long Halloween, Part One",21/06/2021,45.785,7.7,366
607259,Fatherhood,18/06/2021,79.647,7.6,1025
508943,Luca,17/06/2021,279.6,7.9,6335
667257,Impossible Things,17/06/2021,19.088,8.6,240
522931,Hitman's Wife's Bodyguard,14/06/2021,46.064,6.8,1471
467909,In the Heights,10/06/2021,17.695,7.3,495
615658,Awake,09/06/2021,88.511,6,833
633515,The Forgotten Battle,05/06/2021,28.972,7.2,406
672322,Rurouni Kenshin: The Beginning,04/06/2021,114.754,7.8,279
671295,Blue Miracle,27/05/2021,14.407,7.5,211
337404,Cruella,26/05/2021,334.202,8.2,7115
523936,Meander,26/05/2021,145.614,6.1,253
694254,Baggio: The Divine Ponytail,26/05/2021,11.77,6.5,345
423108,The Conjuring: The Devil Made Me Do It,25/05/2021,228.851,7.6,4457
520763,A Quiet Place Part II,21/05/2021,162.363,7.6,4388
637693,Spirit Untamed,20/05/2021,130.55,7.5,378
385128,F9,19/05/2021,282.795,7.3,5415
726684,Miraculous World: Shanghai – The Legend of Ladydragon,15/05/2021,211.986,7.9,443
503736,Army of the Dead,14/05/2021,118.497,6.3,3094
823855,I Am All Girls,14/05/2021,31.719,6.6,202
520663,The Woman in the Window,14/05/2021,23.206,6.1,1494
602734,Spiral: From the Book of Saw,12/05/2021,78.636,6.1,1263
471498,Oxygen,12/05/2021,52.779,6.6,1023
578701,Those Who Wish Me Dead,05/05/2021,59.808,6.8,1163
811367,22 vs. Earth,30/04/2021,80.623,7.1,291
808023,The Virtuoso,30/04/2021,65.708,6.2,252
567189,Tom Clancy's Without Remorse,29/04/2021,102.174,7.1,1938
736069,Justice Society: World War II,27/04/2021,64.055,7.6,394
602063,Rurouni Kenshin: The Final,23/04/2021,54.647,7.9,323
637649,Wrath of Man,22/04/2021,187.328,7.7,3680
501929,The Mitchells vs. the Machines,22/04/2021,31.64,8,1988
589761,Chernobyl: Abyss,15/04/2021,269.713,6.2,369
787428,Two Distant Strangers,09/04/2021,9.498,7.4,279
597890,Voyagers,08/04/2021,72.743,6.1,529
460465,Mortal Kombat,07/04/2021,360.729,7.2,4677
813258,Monster Pets: A Hotel Transylvania Short,02/04/2021,140.968,7.5,304
811634,The Monkey King: Reborn,02/04/2021,16.973,7.2,212
664300,Shiva Baby,02/04/2021,11.414,7.2,277
529106,Major Grom: Plague Doctor,01/04/2021,123.224,6.7,439
632357,The Unholy,31/03/2021,211.669,6.8,1641
699102,A Week Away,26/03/2021,25.875,7,290
522478,Peter Rabbit 2: The Runaway,25/03/2021,108.149,7.3,566
399566,Godzilla vs. Kong,24/03/2021,264.483,7.8,7952
791373,Zack Snyder's Justice League,18/03/2021,252.27,8.3,7831
615457,Nobody,18/03/2021,136.345,8.2,4681
522241,The Courier,18/03/2021,64.284,7.1,726
797394,Secret Magic Control Agency,18/03/2021,43.047,7.2,241
709629,War of Likes,12/03/2021,38.048,7.8,227
638597,Yes Day,12/03/2021,24.216,6.9,837
785534,Paper Lives,12/03/2021,23.002,8.1,292
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,08/03/2021,109.599,8.4,507
630004,The Vault,04/03/2021,114.253,7,619
484718,Coming 2 America,04/03/2021,40.98,6.6,1816
527774,Raya and the Last Dragon,03/03/2021,217.459,8,5361
583689,Moxie,03/03/2021,17.777,7.4,644
779047,Us Again,03/03/2021,8.152,8,233
801335,Girl in the Basement,27/02/2021,62.824,8,375
580532,Crisis,26/02/2021,46.065,6.5,206
544401,Cherry,26/02/2021,45.77,7.5,964
778730,Crazy About Her,26/02/2021,19.917,7.2,377
412656,Chaos Walking,24/02/2021,67.078,6.7,1774
601666,I Care a Lot,19/02/2021,36.11,6.6,2038
513310,Boss Level,19/02/2021,28.721,6.9,1027
643586,Willy's Wonderland,12/02/2021,60.749,6.2,543
599281,Fear of Rain,12/02/2021,56.211,7.2,365
614409,To All the Boys: Always and Forever,12/02/2021,51.822,7.7,1563
506281,The World to Come,12/02/2021,24.804,7.1,205
583406,Judas and the Black Messiah,12/02/2021,14.409,7.4,1028
615643,Minari,12/02/2021,11.953,7.4,1111
672647,The Map of Tiny Perfect Things,12/02/2021,10.396,7.2,531
787298,Squared Love,11/02/2021,10.689,6.1,238
587807,Tom & Jerry,10/02/2021,145.325,7,2018
644583,The Mauritanian,10/02/2021,14.285,7.5,729
588921,AINBO: Spirit of the Amazon,09/02/2021,120.244,7.1,324
663558,New Gods: Nezha Reborn,06/02/2021,76.228,8.2,280
581389,Space Sweepers,05/02/2021,62.02,7.1,782
458220,Palmer,29/01/2021,72.23,8,811
587996,Below Zero,29/01/2021,54.527,6.4,746
644092,Finding 'Ohana,29/01/2021,38.734,6.5,310
722913,Malcolm & Marie,29/01/2021,19.283,7.1,1110
602269,The Little Things,28/01/2021,44.888,6.4,1591
630586,Wrong Turn,26/01/2021,102.516,6,737
706972,Narco Sub,22/01/2021,124.297,6.7,226
618416,Penguin Bloom,21/01/2021,17.215,7.1,200
550205,Wish Dragon,15/01/2021,122.248,8.1,866
634528,The Marksman,15/01/2021,120.8,7,1203
775996,Outside the Wire,15/01/2021,76.309,6.4,1461
532865,The Dig,14/01/2021,17.213,6.9,895
628534,The White Tiger,13/01/2021,12.514,7,685
732450,Batman: Soul of the Dragon,12/01/2021,31.945,7,231
767304,Redemption Day,08/01/2021,102.063,6.2,206
641662,Pieces of a Woman,30/12/2020,8.71,7.1,957
773655,Death to 2020,27/12/2020,10.174,6.6,556
508442,Soul,25/12/2020,142.055,8.2,8078
615677,We Can Be Heroes,25/12/2020,75.158,6.2,603
581032,News of the World,25/12/2020,18.39,7,1358
652837,"Josee, the Tiger and the Fish",25/12/2020,13.09,8.5,234
661914,One Night in Miami...,25/12/2020,8.586,7.1,522
600354,The Father,23/12/2020,17.725,8.2,2138
549514,Fatale,18/12/2020,7.571,6.2,222
464052,Wonder Woman 1984,16/12/2020,159.348,6.6,6830
768520,A California Christmas,14/12/2020,8.022,6.4,255
582014,Promising Young Woman,13/12/2020,18.959,7.5,2130
567797,The Dry,11/12/2020,14.977,6.8,342
721625,Songbird,10/12/2020,23.417,6.2,539
636565,Rose Island,09/12/2020,11.08,7.1,1003
723072,Host,04/12/2020,81.031,6.6,533
662546,Godmothered,04/12/2020,54.867,6.9,488
581734,Nomadland,04/12/2020,21.156,7.3,2261
458576,Monster Hunter,03/12/2020,179.774,6.8,2581
755339,Just Another Christmas,03/12/2020,9.297,7.4,320
611213,The Prom,02/12/2020,8.903,6.2,568
447362,Life in a Year,27/11/2020,139.69,8.3,1019
575604,The Call,27/11/2020,21.704,7.6,508
526702,Black Beauty,27/11/2020,10.846,8.3,265
654905,The Beast,27/11/2020,7.973,6.3,231
520172,Happiest Season,26/11/2020,17.311,7.4,840
529203,The Croods: A New Age,25/11/2020,209.456,7.6,2989
615667,Ma Rainey's Black Bottom,25/11/2020,12.718,6.7,902
634544,Uncle Frank,25/11/2020,9.113,7.5,306
755812,"Miraculous World: New York, United HeroeZ",21/11/2020,209.227,8.2,892
546121,Run,20/11/2020,51.688,7.4,1734
642208,Supernova,20/11/2020,21.003,6.9,210
502033,Sound of Metal,20/11/2020,13.106,7.8,1822
454467,Noelle,20/11/2020,10.029,6.7,238
641501,How I Became a Superhero,19/11/2020,98.571,6.2,376
761053,Gabriel's Inferno: Part III,19/11/2020,24.096,8.5,965
663870,Riders of Justice,19/11/2020,15.762,7.3,438
643882,The Princess Switch: Switched Again,19/11/2020,15.76,6.9,727
733317,Monsters of Man,19/11/2020,10.804,6.5,239
654028,The Christmas Chronicles: Part Two,18/11/2020,37.325,6.5,765
670203,The Talent of the Hornet,18/11/2020,5.224,6.4,380
732670,The Lego Star Wars Holiday Special,17/11/2020,25.119,6.7,236
568467,Ammonite,13/11/2020,13.078,7.1,373
614560,Mank,13/11/2020,13.044,6.8,1234
551804,Freaky,12/11/2020,26.945,6.6,1061
592984,Hillbilly Elegy,09/11/2020,11.008,6.8,715
622855,Jingle Jangle: A Christmas Journey,06/11/2020,21.738,6.6,401
596161,Let Him Go,05/11/2020,11.286,6.9,416
738646,Operation Christmas Drop,05/11/2020,9.156,6.5,445
667869,The Life Ahead,03/11/2020,6.197,6.7,466
621151,Spell,30/10/2020,32.689,6.4,278
670428,Psycho Goreman,29/10/2020,31.951,6.1,222
680593,The Dark and the Wicked,29/10/2020,10.975,6.1,216
590995,The Craft: Legacy,28/10/2020,60.487,6.3,563
571384,Come Play,28/10/2020,13,6.3,445
615665,Holidate,27/10/2020,13.091,7.1,1658
441130,Wolfwalkers,26/10/2020,16.319,8.4,778
531219,Roald Dahl's The Witches,25/10/2020,137.531,6.5,2189
741074,Once Upon a Snowman,23/10/2020,111.705,6.9,430
730154,Your Eyes Tell,23/10/2020,56.464,8.5,319
652004,The Wolf of Snow Hollow,23/10/2020,36.795,6.2,236
740985,Borat Subsequent Moviefilm,23/10/2020,16.794,6.5,1930
632322,All My Life,23/10/2020,15.941,8.1,344
